id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30516467,"Airy studio in Southie w/ Gym, Doorman by Blueground",107434423,Blueground,,South Boston,42.34114,-71.04958,Entire home/apt,143,32,0,,,120,361
30523091,New Luxury 3 BR |1 Bath Unit near Seaport/BCEC,161161895,Shelby,,South Boston,42.33291,-71.04082,Entire home/apt,142,1,53,2021-01-16,2.12,2,166
30533497,Fort Hill top -1Bk  Private room in townhouse,8513158,Kevin,,Roxbury,42.32673,-71.09327,Private room,42,30,7,2020-03-14,0.32,5,195
30564539,Sunny Allston Bedroom,17892292,Marlene,,Allston,42.36109,-71.13476,Private room,53,91,1,2019-07-04,0.05,5,0
30690519,Designer Loft in Downtown Waterfront  location,46880568,Kelly,,Downtown,42.35719,-71.05261,Entire home/apt,315,2,38,2020-03-02,1.60,1,0
30858812,The Woodbourne - Prvt JP 2BR 15 Min To Everywhere!,211715498,Cathy,,Jamaica Plain,42.29312,-71.11438,Entire home/apt,200,30,51,2020-03-11,3.04,1,92
30927689,Boston Marathon Finish Line - 5 Minutes Away!,1984434,Irene,,Back Bay,42.34517,-71.08069,Private room,250,3,2,2019-08-13,0.09,2,270
30929175,Luxury Back Bay Downtown Boston NEW CONDO,218473728,Tommy,,South End,42.34576,-71.07304,Entire home/apt,398,91,39,2019-12-26,1.61,1,324
30955485,Luxury apt in the heart of Boston,183422988,Lauren,,Chinatown,42.34858,-71.05931,Private room,200,91,25,2019-11-10,1.05,1,0
30964172,Spacious duplex in historic Charlestown w/ parking,12538925,Teona,,Charlestown,42.37989,-71.06418,Entire home/apt,102,91,0,,,1,0
30981268,"BACK BAY walk to Berklee, Northeastern, Newbury St",180283497,Michelle,,Fenway,42.34636,-71.0913,Entire home/apt,83,28,2,2020-12-30,0.08,7,364
31014488,Comfortable and attractive living!,12150111,A And L,,Jamaica Plain,42.31177,-71.11911,Entire home/apt,250,3,0,,,3,47
31029365,"Urban FiDi 1BR, w/ Gym, Doorman + W/D, near South Sta. by Blueground",107434423,Blueground,,Downtown,42.35376,-71.05306,Entire home/apt,133,32,0,,,120,365
31039035,Basement room,27871799,Althea,,Mattapan,42.27437,-71.07797,Private room,50,1,6,2019-08-26,0.28,6,353
31057539,Beacon Hill Hideaway,57565535,Holly,,Beacon Hill,42.36033,-71.06726,Entire home/apt,105,2,125,2020-12-17,5.00,1,62
31140376,Spacious  Room  5 min walk to T 10 mins to BC,200455160,Mo,,Brighton,42.34255,-71.15375,Private room,100,91,3,2019-08-28,0.14,5,180
31161436,A minute walk from the Red Line (Shawmut) Room 3,67637928,Yuki,,Mattapan,42.27324,-71.0702,Private room,31,31,1,2019-03-31,0.05,4,0
31185088,Modern Parkside Greenhome,4071493,Cynthia,,Dorchester,42.29103,-71.06781,Entire home/apt,185,91,0,,,1,322
31191233,Karlie’s Place Mini Suite,192503522,Esther,,Mattapan,42.27552,-71.09566,Private room,81,1,2,2019-06-08,0.10,4,1
31259705,"Books, vinyls, plants & sunlight oh my!!!",12248031,Christopher,,Brighton,42.34565,-71.13973,Private room,85,91,26,2019-08-17,1.06,1,0
31262321,5* Premium Quality - 3 Bedroom Apartment,196631266,Nakeisha,,Dorchester,42.2897,-71.07825,Entire home/apt,275,1,13,2020-03-01,0.58,2,362
31429443,Flat in the Jamaica Plain Hills,884747,Meg,,Jamaica Plain,42.31,-71.10084,Entire home/apt,107,2,47,2020-12-20,2.00,1,57
31484506,"Open & Bright Beacon Hill 1BR, near the State House by Blueground",107434423,Blueground,,West End,42.36552,-71.06729,Entire home/apt,175,32,0,,,120,63
31487769,Cozy Three Bedroom Apartment in Jamaica Plain,212359760,Evonify,,Jamaica Plain,42.31687,-71.10859,Entire home/apt,140,1,6,2019-03-19,0.24,38,113
31591262,Boutique Hotel Room - Charlesmark Hotel,224820689,Charlesmark,,Back Bay,42.34998,-71.07855,Hotel room,109,1,52,2020-08-30,2.14,5,0
31593437,"Private Room Near Harvard, BU and Downtown Boston!",9974594,Hank,,Allston,42.35083,-71.13373,Private room,79,91,19,2019-08-15,0.85,6,90
31615291,"Spacious Room w/ Balcony near BU, Harvard,Downtown",9974594,Hank,,Allston,42.35161,-71.13356,Private room,84,91,27,2019-08-28,1.11,6,0
31636229,1 bedroom basement unit,237183549,Stephanie,,Hyde Park,42.26328,-71.12697,Entire home/apt,70,2,60,2020-11-13,3.12,2,0
31664470,"Spacious Room Near Harvard, BU & Downtown Boston!",9974594,Hank,,Allston,42.35,-71.13334,Private room,84,91,13,2019-08-31,0.54,6,270
31675216,"Sunny, cozy, tidy, colorful JP apartment",18338326,Matt,,Jamaica Plain,42.2961,-71.11484,Entire home/apt,55,2,0,,,2,19
31675705,"Bedroom in a sunny, cozy, + colorful JP apartment",18338326,Matt,,Jamaica Plain,42.2961,-71.11484,Private room,39,2,18,2020-03-07,0.75,2,231
31706263,"Private Room Near Downtown, Harvard, MIT & BU!",9974594,Hank,,Allston,42.35143,-71.13364,Private room,84,91,13,2019-07-29,0.56,6,270
31761449,Sunny and Modern 2 BEDs Condo Minutes From The T,21315770,Anya,,East Boston,42.36658,-71.03595,Entire home/apt,199,2,66,2021-01-05,3.02,1,21
31764931,💎Swanky Home 🌻Walk to MGH 🌳Sanitized🧺Laundry,238179467,The,,Beacon Hill,42.35939,-71.0699,Entire home/apt,399,2,27,2020-11-29,1.14,8,363
31851278,Lovely Modern Victorian Home,238705380,Osman,,Dorchester,42.29448,-71.06702,Entire home/apt,99,91,0,,,1,180
31930647,🌳Ace Location🌳Luxe🌳Walk MGH🌳Sanitized🐶Dogs OK,238179467,The,,Beacon Hill,42.35931,-71.06988,Entire home/apt,135,32,13,2020-08-30,0.58,8,39
31932336,💎Newly Renovated🌳Walk to MGH🏨Luxe🌻Sanitized🌿,238179467,The,,Beacon Hill,42.35781,-71.07068,Entire home/apt,139,32,15,2020-05-10,0.64,8,245
31933571,🌳Penthouse w Deck🌳Walk MGH🌳Sanitized🌳Laundry🌳,238179467,The,,Beacon Hill,42.36033,-71.06747,Entire home/apt,199,32,10,2019-08-31,0.43,8,254
31952528,🏨Walk to MGH🏃Ace Location🌳Renovated🌻Sanitized,238179467,The,,Beacon Hill,42.35842,-71.06944,Entire home/apt,119,32,20,2020-09-14,0.85,8,152
