id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
722515,"Decadent Oasis - hot tub, pool and billiards",2609518,Bram,,Hollywood,26.0073,-80.15713,Entire home/apt,629,3,188,2021-01-24,1.88,11,224
724829,Heavenly Sunsets in Fort Lauderdale,3747351,Chuckie,,Fort Lauderdale,26.16462,-80.10483,Private room,135,1,13,2019-03-17,0.15,1,357
765598,Enjoy A Garden Eden By The Beach!,4036922,Gail,,Fort Lauderdale,26.16633,-80.11567,Entire home/apt,360,3,34,2020-07-08,0.35,1,322
801174,Quiet and basic,1563441,Andrew,,Margate,26.222,-80.21673,Private room,50,20,0,,,1,87
811452,Townhouse in Miramar,4267086,Ricardo,,Miramar,25.97229,-80.36437,Private room,50,1,0,,,1,365
813346,2 month Lease on Deerfield Beach,4274008,Nathan,,Deerfield Beach,26.30933,-80.07735,Entire home/apt,300,60,0,,,1,365
817635,Deerfield Beach Vacation Townhouse 2Bed 2Bath Gem,4168960,Ike,,Deerfield Beach,26.32085,-80.14409,Entire home/apt,99,5,18,2019-10-17,0.19,1,292
844392,OCEANFRONT ON THE BEACH 4 FLOOR,2001930,Dmitri,,Hallandale Beach,25.98623,-80.1194,Entire home/apt,215,5,7,2018-03-17,0.07,42,74
845458,The Bismarck Villa,4414033,James,,Wilton Manors,26.16163,-80.15217,Entire home/apt,263,4,6,2021-01-04,0.06,1,331
901497,Mary Pop Apartments ( Studio ) LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,55,7,99,2020-02-15,1.02,8,258
912964,On the Beach Chic 2 Bedroom Miami,4787710,Shannon,,Hollywood,25.98925,-80.11882,Entire home/apt,154,2,56,2021-01-05,0.58,1,287
915364,Fully furnished studio efficiency with murphy bed.,4913859,Patrick,,Hollywood,26.02558,-80.14704,Entire home/apt,67,3,10,2020-10-15,0.37,1,335
916342,1/1 MARY POP APARTMENTS #206 LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,68,90,18,2020-01-17,0.22,8,316
980856,2 Bedroom apartment in Coral Springs,5371244,Elizabeth,,Coral Springs,26.25763,-80.23714,Entire home/apt,100,2,128,2021-01-01,1.74,2,307
990398,Sunny Fort Lauderdale Get-Away,3289399,Valerie,,Fort Lauderdale,26.14705,-80.15206,Entire home/apt,82,7,60,2020-03-14,0.65,1,256
998144,OCEANFRONT MODERN 2/2 BEDROOM ON THE BEACH  2 FL,2001930,Dmitri,,Hallandale Beach,25.98643,-80.11813,Entire home/apt,249,5,4,2021-01-03,0.05,42,139
1002995,Nice masterbedroom at Fort lauderdale,5514632,Tony,,Tamarac,26.17976,-80.22598,Private room,48,1,21,2019-11-22,0.25,12,148
1038248,Mins from everything 3/2 House,240212,Elisa And Stephen,,Pembroke Pines,26.01895,-80.25821,Entire home/apt,300,7,17,2020-08-01,0.19,1,213
1053872,"Waterfront, walk to beach, luxury, guesthouse",5540104,Katarina,,Fort Lauderdale,26.11499,-80.11301,Entire home/apt,541,1,4,2020-10-05,0.04,4,347
1069095,Room in Fort lauderdale.,5514632,Tony,,North Lauderdale,26.21588,-80.22835,Private room,49,1,14,2017-03-25,0.19,12,176
1076949,Key West Style Bungalow,1931430,Ana,,Fort Lauderdale,26.11777,-80.15773,Entire home/apt,126,2,40,2020-02-22,0.46,2,301
1080080,"200 feet at water, walk to beach",5540104,Katarina,,Fort Lauderdale,26.11725,-80.11189,Entire home/apt,287,3,5,2020-06-11,0.06,4,314
1092175,OCEANFRONT ON THE BEACH. 2 BEDROOM 8TH FLOOR,2001930,Dmitri,,Hollywood,25.9867,-80.11926,Entire home/apt,275,5,6,2015-02-21,0.07,42,74
1097406,Aladdin's palace,6030918,Fatima,,Hollywood,26.01865,-80.16034,Entire home/apt,238,1,105,2021-01-03,1.14,1,365
1115250,Stay at Walrick of So Fla (BR1)!,6021015,Walter,,Wilton Manors,26.15727,-80.15172,Private room,117,1,79,2021-01-09,0.84,2,330
1115473,Stay at Walrick of So Fla (BR2),6021015,Walter,,Wilton Manors,26.15898,-80.15189,Private room,117,1,49,2020-03-20,0.54,2,330
1117425,Cute Villa w/POOL 250 yds to BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19502,-80.09752,Entire home/apt,118,5,69,2020-09-27,0.84,2,336
1118565,Elegant Condo 250 yards from BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19206,-80.09761,Entire home/apt,121,5,64,2021-01-02,0.68,2,335
1127112,Studio with kitchen at Beach Hotel,5611017,Sergio,,Hollywood,26.01299,-80.11543,Entire home/apt,69,4,95,2020-08-09,1.06,22,53
1137299,Private room in Fort Lauderdale,2980266,Sonnie,,Plantation,26.12142,-80.24073,Private room,119,2,0,,,2,362
1147098,"Ocean View,3 bdrm/ 3bath,2 story,2 huge balconies",6288957,Olga,,Hollywood,26.00715,-80.11813,Entire home/apt,299,3,8,2020-12-29,0.93,6,232
1149806,Cozy Suite in Fort Lauderdale,6302818,Omar A.,,Oakland Park,26.17082,-80.13079,Entire home/apt,140,3,148,2021-01-25,1.59,1,290
1173175,Tropical Waterfront Paradise with dockage.,2604965,Maureen,,Hollywood,26.02862,-80.16496,Entire home/apt,632,1,35,2021-01-02,0.38,3,336
1173304,Charming Waterfront Retreat,2604965,Maureen,,Hollywood,26.03044,-80.16362,Private room,150,1,84,2020-03-14,1.08,3,337
1173305,Tranquil Waterfront Oasis,2604965,Maureen,,Hollywood,26.02834,-80.16334,Private room,150,1,51,2020-03-19,0.56,3,337
1206443,Luxury High-Rise Condo on the Beach,6586687,Bonnie,,Hallandale Beach,25.97843,-80.12082,Entire home/apt,170,30,0,,,1,337
