id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
46412756,"Chic 2 Bd Condo, Great Location- Stay Long Term!",187548757,Nelson,,Five Points,39.75045,-104.97903,Entire home/apt,948,31,0,,,5,348
46413328,Five Points Treasure- Long Term Stays Welcome!,187548757,Nelson,,Five Points,39.75006,-104.98075,Entire home/apt,110,31,0,,,5,299
46414698,Luxurious country house in the City,375542799,Josh,,College View - South Platte,39.67952,-105.01598,Entire home/apt,177,1,6,2021-01-24,3.75,1,346
46414718,Two Lovely Condos in the Heart of Five Points,187548757,Nelson,,Five Points,39.74989,-104.9791,Entire home/apt,132,2,0,,,5,0
46416197,Modern Paradise in Denvers Best Neighborhood!,2600976,Nick,,Five Points,39.75342,-104.97769,Entire home/apt,300,2,1,2021-01-03,1,1,2
46428949,Beautiful unit with W/D in exclusive building,10955885,Kiana,,University Park,39.67605,-104.95933,Entire home/apt,100,29,0,,,2,339
46429819,Functional Suite Double Bed At Denver International Airport,175128252,Team Gospodin,,Gateway - Green Valley Ranch,39.77522,-104.79609,Private room,115,1,0,,,69,356
46429832,Outstanding Quadruple Two Double Beds Non Smoking At Cherry Creek - Glendale,175128252,Team Gospodin,,Hampden South,39.63011,-104.89886,Private room,224,29,0,,,69,297
46429883,Divine Suite Double Bed At South Denver Area,175128252,Team Gospodin,,Hampden,39.65547,-104.90223,Private room,114,1,0,,,69,362
46429999,Royal Double Standard At Cherry Creek - Glendale,175128252,Team Gospodin,,Belcaro,39.70529,-104.94142,Private room,148,1,0,,,69,306
46430086,Touching Double Two Double Beds Non Smoking At Aurora,175128252,Team Gospodin,,Stapleton,39.77883,-104.86605,Private room,194,1,0,,,69,360
46430207,Pleasant Double Bed Non Smoking At Denver International Airport,175128252,Team Gospodin,,Gateway - Green Valley Ranch,39.77365,-104.79714,Private room,132,1,0,,,69,297
46430228,Remarkable Suite Double Bed Non Smoking At Denver International Airport,175128252,Team Gospodin,,DIA,39.82475,-104.77453,Private room,142,1,0,,,69,363
46430261,Intimate Studio Two Double Beds Non Smoking At Denver International Airport,175128252,Team Gospodin,,DIA,39.81883,-104.77265,Private room,95,29,0,,,69,359
46430275,Marvelous Suite Two Double Beds At Denver International Airport,175128252,Team Gospodin,,Gateway - Green Valley Ranch,39.7749,-104.79417,Private room,126,29,0,,,69,349
46430281,Majestic Double Bed At Denver International Airport,175128252,Team Gospodin,,Gateway - Green Valley Ranch,39.77407,-104.79457,Private room,88,1,0,,,69,339
46430283,Great Double Bed Non Smoking At Denver International Airport,175128252,Team Gospodin,,DIA,39.82563,-104.76868,Private room,151,29,0,,,69,297
46430297,Amazing Suite Double Bed Non Smoking At Denver International Airport,175128252,Team Gospodin,,DIA,39.82725,-104.76987,Private room,128,29,0,,,69,297
46430307,Royal Double Two Double Beds At Good Location,175128252,Team Gospodin,,CBD,39.74789,-104.99084,Private room,153,1,0,,,69,358
46430319,Spledid Room Two Double Beds At Good Location,175128252,Team Gospodin,,Hampden South,39.62726,-104.89689,Private room,153,1,0,,,69,347
46430328,Heavenly Suite Two Double Beds At Good Location,175128252,Team Gospodin,,CBD,39.74534,-104.99477,Private room,133,1,0,,,69,360
46430338,Quiet Double Bed At Good Location,175128252,Team Gospodin,,Hampden South,39.62911,-104.90131,Private room,107,1,0,,,69,351
46430349,Shiny Double Bed Non Smoking At Good Location,175128252,Team Gospodin,,CBD,39.74471,-104.99291,Private room,822,29,0,,,69,297
46430396,Gratifying Double Bed At Good Location,175128252,Team Gospodin,,CBD,39.74448,-104.98918,Private room,197,1,0,,,69,357
46430404,Quiet Double Standard At Cherry Creek - Glendale,175128252,Team Gospodin,,Hampden South,39.63156,-104.89801,Private room,232,1,0,,,69,362
46430450,Touching Suite Two Double Beds One Bedroom At South Denver Area,175128252,Team Gospodin,,Hampden,39.65484,-104.90357,Private room,114,29,0,,,69,359
46430562,Superior Suite Non Smoking At Aurora,175128252,Team Gospodin,,Montbello,39.7788,-104.8645,Private room,155,1,0,,,69,354
46430702,Tidy Room Two Double Beds At Denver International Airport,175128252,Team Gospodin,,Gateway - Green Valley Ranch,39.77323,-104.79849,Private room,146,1,0,,,69,297
46430716,Good-Looking Room Standard At Denver International Airport,175128252,Team Gospodin,,DIA,39.82338,-104.77611,Private room,140,1,0,,,69,363
46430730,Wonderful Studio Double Bed At Denver International Airport,175128252,Team Gospodin,,DIA,39.81847,-104.77233,Private room,95,29,0,,,69,359
46430740,Astonishing Double Two Double Beds Non Smoking At Denver International Airport,175128252,Team Gospodin,,Gateway - Green Valley Ranch,39.77403,-104.79618,Private room,91,29,0,,,69,358
46430746,Remarkable Room Double Bed At Good Location,175128252,Team Gospodin,,CBD,39.74718,-104.98968,Private room,162,1,1,2020-11-22,0.42,69,364
46430756,Superior Double Bed Non Smoking At Good Location,175128252,Team Gospodin,,Hampden South,39.62767,-104.89536,Private room,121,1,0,,,69,351
46430779,En-Suite Double Two Double Beds At Good Location,175128252,Team Gospodin,,Hampden South,39.62867,-104.90156,Private room,107,1,0,,,69,351
46430797,Compelling Double Bed Non Smoking At Good Location,175128252,Team Gospodin,,CBD,39.74483,-104.98798,Private room,380,1,0,,,69,297
46431593,Jeff Park/LoHi Private Bedroom,2306853,Christina,,Jefferson Park,39.75366,-105.02156,Private room,51,1,3,2021-01-01,2.09,2,19
46431870,Jeff Park/LoHi LARGE Private Bedroom,2306853,Christina,,Jefferson Park,39.75282,-105.02183,Private room,58,1,5,2021-01-27,2.21,2,2
46432724,Bright and sunny Denver Home for extended stays,229457399,Ericka,,Athmar Park,39.70407,-105.01601,Entire home/apt,210,10,1,2020-12-15,0.61,2,10
46439967,Vibrant Suite Double Bed Non Smoking At Good Location,175128252,Team Gospodin,,North Capitol Hill,39.7468,-104.98574,Private room,163,1,0,,,69,333
46439972,Special Double Standard At Good Location,175128252,Team Gospodin,,Lincoln Park,39.72708,-104.98815,Private room,144,29,0,,,69,363
46439979,Modest Double Two Beds At Good Location,175128252,Team Gospodin,,CBD,39.74311,-104.98897,Private room,214,29,0,,,69,357
46440016,Amazing Studio Double Bed At Good Location,175128252,Team Gospodin,,Jefferson Park,39.75616,-105.01659,Private room,166,1,0,,,69,364
46440050,Convenient Double Two Double Beds At Denver International Airport,175128252,Team Gospodin,,DIA,39.82432,-104.77161,Private room,129,1,0,,,69,363
46440054,Vibrant Double Bed At Denver International Airport,175128252,Team Gospodin,,DIA,39.82396,-104.77167,Private room,116,29,0,,,69,359
46440063,Fivestar Double Bed Non Smoking At Good Location,175128252,Team Gospodin,,North Capitol Hill,39.74525,-104.98428,Private room,178,1,0,,,69,333
